City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
304,Bima,ID,77.29,broken clouds,-8.4667,118.7167,Lambitu Hotel
305,Palauig,PH,79.84,few clouds,15.435,119.9045,Villa Raphael Resort
306,Presidencia Roque Saenz Pena,AR,86.04,clear sky,-26.7852,-60.4388,Hotel Gualok
307,Santa Cruz,BO,84.25,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
310,Pachino,IT,76.86,broken clouds,36.7186,15.0907,Il Veliero
312,Bosaso,SO,85.17,few clouds,11.2842,49.1816,Red Sea Hotel
313,Kununurra,AU,73.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
314,Mahon,ES,72.16,few clouds,39.8885,4.2658,ARTIEM Capri
315,Garoua,CM,85.06,scattered clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
318,Shimoda,JP,70.74,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
319,Bonawon,PH,80.01,overcast clouds,9.134,122.9193,"Careca's, Chill Out, Beach & Dive Resort"
320,Necochea,AR,71.1,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
321,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
322,Necocli,CO,85.19,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
330,Kavaratti,IN,81.59,overcast clouds,10.5669,72.642,Green leaf
333,Lampang,TH,78.6,light rain,18.3333,99.5,Mrs Luis Guest House
334,Shaowu,CN,76.33,clear sky,27.3409,117.4831,Yijie Express Hotel
335,Mount Isa,AU,74.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
336,Los Llanos De Aridane,ES,71.35,broken clouds,28.6585,-17.9182,Valle Aridane
338,Tripoli,LY,78.44,overcast clouds,32.8752,13.1875,Al Waddan Hotel
339,Maceio,BR,85.44,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
342,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
345,Vanimo,PG,77.76,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
353,Garissa,KE,81.48,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
354,Rancho Palos Verdes,US,70.99,overcast clouds,33.7445,-118.387,Terranea Resort
