City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
28,Bambous Virieux,-20.3428,57.7575,71.85,68,75,11.5,MU,2022-09-28 03:21:37
29,Arraial Do Cabo,-22.9661,-42.0278,69.46,93,97,11.52,BR,2022-09-28 03:21:37
30,Bluff,-46.6,168.3333,55.18,78,84,3.87,NZ,2022-09-28 03:21:37
31,Omsukchan,62.5333,155.8,37.33,62,85,2.46,RU,2022-09-28 03:21:38
32,Georgetown,5.4112,100.3354,84.13,84,20,5.75,MY,2022-09-28 03:19:35
33,Port Elizabeth,-33.918,25.5701,65.32,99,100,9.22,ZA,2022-09-28 03:21:38
34,Barrow,71.2906,-156.7887,30.22,80,100,11.5,US,2022-09-28 03:21:38
35,Pangnirtung,66.1451,-65.7125,33.26,76,35,2.3,CA,2022-09-28 03:21:39
36,Hilo,19.7297,-155.09,86.29,73,75,3.44,US,2022-09-28 03:21:39
37,Cape Town,-33.9258,18.4232,59.38,84,100,1.14,ZA,2022-09-28 03:20:40
