City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
594,Timbiras,-4.2553,-43.9406,100.18,broken clouds,28,65,5.14,BR
595,Gifhorn,52.4833,10.55,57.0,clear sky,92,0,10.36,DE
596,Bassila,9.0081,1.6654,73.45,moderate rain,94,92,5.61,BJ
597,Fallon,39.4735,-118.7774,64.92,clear sky,44,0,4.61,US
598,Aykhal,66.0,111.5,19.58,light snow,97,93,4.94,RU
599,Kimbe,-5.5502,150.1429,75.15,clear sky,91,8,3.87,PG
600,Huarmey,-10.0681,-78.1522,68.79,broken clouds,71,58,12.35,PE
601,Sabha,27.0377,14.4283,95.23,clear sky,11,0,10.71,LY
602,Portobelo,9.55,-79.65,80.96,overcast clouds,76,100,9.31,PA
603,Adwa,14.1646,38.8955,68.07,light rain,58,87,5.46,ET
604,Nuevitas,21.5453,-77.2644,82.44,broken clouds,79,70,6.17,CU
605,Vitim,59.4511,112.5578,28.17,overcast clouds,72,100,2.89,RU
606,Hofn,64.2539,-15.2082,46.71,overcast clouds,90,100,4.21,IS
607,Hay River,60.8156,-115.7999,55.38,broken clouds,82,75,6.91,CA
608,Akyab,20.15,92.9,80.11,moderate rain,86,99,9.19,MM
609,Jiwani,25.05,61.7417,80.92,clear sky,75,0,10.63,PK
610,Matay,28.419,30.7792,94.91,clear sky,21,0,9.66,EG
611,Mehamn,71.0357,27.8492,40.91,overcast clouds,100,100,1.14,NO
612,Turgutlu,38.4953,27.6997,85.75,few clouds,31,19,4.47,TR
613,Salamiyah,35.0113,37.0532,81.36,clear sky,27,0,6.8,SY
614,Krasnoselkup,65.7,82.4667,27.9,overcast clouds,82,96,9.55,RU
615,Areosa,41.7178,-8.8571,66.24,scattered clouds,73,49,7.54,PT
616,Sumter,28.7086,-82.0831,81.81,clear sky,61,0,4.29,US
617,Vila Franca Do Campo,37.7167,-25.4333,73.81,broken clouds,76,56,12.21,PT
618,Highland,34.1283,-117.2086,88.09,haze,37,100,0.0,US
619,Berea,41.3662,-81.8543,63.61,overcast clouds,71,100,17.27,US
620,Pathein,16.7833,94.7333,74.89,moderate rain,98,100,5.26,MM
621,Biskamzha,53.4497,89.5272,21.99,overcast clouds,98,93,1.7,RU
622,Oyem,1.5995,11.5793,69.78,moderate rain,95,92,3.06,GA
623,Ozernovskiy,51.5,156.5167,44.91,overcast clouds,78,100,7.49,RU
624,Amstetten,48.1229,14.8721,54.16,overcast clouds,97,100,4.43,AT
625,Presidente Prudente,-22.1256,-51.3889,81.95,scattered clouds,54,40,4.61,BR
626,Formby,53.5536,-3.0682,63.9,clear sky,72,1,20.58,GB
627,Muzhi,65.3667,64.6667,34.83,overcast clouds,70,100,12.12,RU
628,Jaisalmer,26.9147,70.9181,88.36,clear sky,25,0,10.07,IN
629,Lagos,6.5833,3.75,82.72,broken clouds,85,84,5.17,NG
630,Remanso,-9.6179,-42.0831,90.0,clear sky,31,5,15.1,BR
631,Mingguang,32.7802,117.9638,82.53,broken clouds,72,70,13.11,CN
632,Stornoway,58.2093,-6.3865,53.56,broken clouds,87,75,16.11,GB
633,Gonbad-E Qabus,37.25,55.1672,76.15,light rain,67,97,8.86,IR
634,Broken Hill,-31.95,141.4333,55.38,clear sky,66,1,8.05,AU
635,Romanovskaya,47.5426,42.0285,70.99,overcast clouds,50,93,6.2,RU
636,Fukuma,33.7667,130.4667,68.0,clear sky,75,4,3.42,JP
637,Chalus,36.655,51.4204,72.86,scattered clouds,83,40,2.3,IR
638,Dunkirk,51.05,2.3667,64.0,few clouds,77,15,3.0,FR
639,Kaeo,-35.1,173.7833,56.32,broken clouds,97,82,6.17,NZ
640,Nabire,-3.3667,135.4833,75.76,overcast clouds,91,92,3.13,ID
641,Alofi,-19.0595,-169.9187,69.69,overcast clouds,88,99,19.8,NU
642,Mandalgovi,45.7625,106.2708,40.62,overcast clouds,49,100,13.38,MN
643,Senanga,-16.1167,23.2667,82.76,clear sky,14,2,6.6,ZM
644,Kijang,35.2442,129.2139,67.73,broken clouds,57,60,2.51,KR
645,Tchibanga,-2.85,11.0333,72.86,light rain,94,99,4.74,GA
646,Northam,51.0333,-4.2167,60.39,light rain,88,22,18.16,GB
647,Wamba,8.9333,8.6,78.44,overcast clouds,83,87,2.8,NG
648,Weyburn,49.6668,-103.8511,52.02,overcast clouds,82,100,12.66,CA
649,Christchurch,-43.5333,172.6333,46.9,light intensity drizzle,94,100,2.3,NZ
650,Dawson Creek,55.7666,-120.2362,49.64,clear sky,76,0,9.22,CA
651,Zhanaozen,43.3,52.8,68.07,scattered clouds,19,30,10.29,KZ
652,Gacko,43.1672,18.5353,54.77,overcast clouds,95,91,4.12,BA
653,Mount Pleasant,32.7941,-79.8626,75.09,broken clouds,71,75,10.36,US
654,Salalah,17.0151,54.0924,80.69,scattered clouds,83,40,6.91,OM
655,Aquiraz,-3.9014,-38.3911,87.89,scattered clouds,55,28,15.86,BR
656,Road Town,18.4167,-64.6167,86.04,few clouds,79,20,6.91,VG
657,Trosna,52.4446,35.7791,60.31,light rain,84,100,13.11,RU
658,Ola,59.5833,151.2833,32.45,overcast clouds,61,99,11.03,RU
659,Szegvar,46.5874,20.2241,64.15,overcast clouds,96,90,14.38,HU
660,Bundaberg,-24.85,152.35,61.21,scattered clouds,94,25,3.0,AU
661,Uribia,11.7139,-72.266,89.69,overcast clouds,53,100,12.06,CO
662,Huinan,42.6225,126.2614,58.98,overcast clouds,92,100,2.55,CN
663,Kearney,40.6995,-99.0815,74.57,clear sky,43,0,18.41,US
664,Ngunguru,-35.6167,174.5,57.97,broken clouds,94,80,6.76,NZ
665,Astoria,46.1879,-123.8313,70.86,clear sky,83,0,7.0,US
666,Xining,36.6167,101.7667,55.83,scattered clouds,48,43,0.38,CN
667,Tautira,-17.7333,-149.15,76.24,broken clouds,70,69,7.67,PF
668,Saint Joseph,39.7686,-94.8466,71.44,few clouds,45,14,9.26,US
669,Colomi,-17.35,-65.8667,68.02,scattered clouds,56,35,7.0,BO
